chrom,window_start,window_end,n_snps,pi,theta_w,tajima_d
1,1,1000000,256,6.889347666621574e-05,3.355118282572338e-05,3.245546412711118
1,1000001,2000000,222,5.7415168838555304e-05,2.90776917822936e-05,2.9922453713685946
1,2000001,3000000,281,7.662993573191571e-05,4.122002461446016e-05,2.657978910707661
1,3000001,4000000,471,0.00012795846026940336,7.157585669487654e-05,2.4567335482753223
1,4000001,5000000,269,3.9494624227215035e-05,3.802467386915317e-05,0.11942521709397005
1,5000001,6000000,232,5.9331855994676106e-05,3.227304252760059e-05,2.5809604374261146
1,6000001,7000000,174,4.969210413742147e-05,2.540303842519056e-05,2.924826106771138
1,7000001,8000000,366,9.803468510283619e-05,5.1285379462177176e-05,2.83076459651907
1,8000001,9000000,212,7.982430584657993e-05,3.195350745306989e-05,4.6106568261857985
1,9000001,10000000,178,4.5242617146337735e-05,2.5243270887925212e-05,2.423060226792649
1,10000001,11000000,120,2.8711259158934323e-05,1.6615823875596342e-05,2.1929014054719524
1,11000001,12000000,122,2.3808224151254557e-05,1.5657218652004247e-05,1.5640802706033112
1,12000001,13000000,148,2.961221017854878e-05,2.1408849993556825e-05,1.1657410242822013
1,13000001,14000000,105,2.9959229148090625e-05,1.5337683577473545e-05,2.8614072665874373
1,14000001,15000000,91,1.973721705162396e-05,1.3260705593024004e-05,1.4552981664068214
1,15000001,16000000,65,1.617369615691562e-05,8.467679475063522e-06,2.6331577208205754
1,16000001,17000000,51,1.366176857946627e-05,6.230933953348629e-06,3.356749178948589
1,17000001,18000000,62,1.830284812961752e-05,9.106749624124917e-06,2.938137519728724
1,18000001,19000000,119,3.5650278680867844e-05,1.8533034322780536e-05,2.794961823663318
1,19000001,20000000,69,2.399520317691511e-05,1.0065354847717016e-05,4.055484414481249
1,20000001,21000000,76,1.7997060631331472e-05,1.0864192534043763e-05,1.933657500940621
1,21000001,22000000,110,3.293759403758035e-05,1.6296288801065644e-05,3.0735971081763522
1,22000001,23000000,177,5.4622009169377036e-05,2.4923735813394517e-05,3.642900788091249
1,23000001,24000000,300,8.13702475910294e-05,4.537398058335924e-05,2.4588071417416186
1,24000001,25000000,373,8.40327247939619e-05,5.1285379462177176e-05,1.9829177037995784
1,25000001,26000000,146,2.547482795912127e-05,1.965140708363798e-05,0.8987748241281471
1,26000001,27000000,98,9.371636160251593e-06,1.0225122384982365e-05,-0.24485919490724128
1,27000001,28000000,202,4.171406831192807e-05,2.795931902143615e-05,1.5089420956110946
1,28000001,29000000,360,7.38201938223269e-05,5.0486541775850423e-05,1.4349146066547498
1,29000001,30000000,226,4.2922825197879545e-05,3.179373991580454e-05,1.0771516372138688
1,30000001,31000000,242,3.7377454757107484e-05,3.514885819837688e-05,0.19555450059687415
1,31000001,32000000,293,6.9320370983461e-05,4.345677013617505e-05,1.8432388744130928
1,32000001,33000000,449,7.639617347387205e-05,6.278864214528234e-05,0.674868145898252
1,33000001,34000000,232,5.559372549871693e-05,3.466955558658083e-05,1.8608774626864835
1,34000001,35000000,247,5.148848540142896e-05,3.275234513939664e-05,1.7615677991281231
1,35000001,36000000,288,6.305201147771164e-05,3.9462581704541316e-05,1.8480271050457862
1,36000001,37000000,184,3.321277903138722e-05,2.4923735813394517e-05,1.016764904457492
1,37000001,38000000,197,4.1056567683868807e-05,2.572257349972126e-05,1.8242090022104716
1,38000001,39000000,216,4.8696841542732515e-05,3.0355832080416396e-05,1.8571679222210211
1,39000001,40000000,282,5.205273384780749e-05,3.754537125735712e-05,1.1933828629629222
1,40000001,41000000,331,4.204639391794821e-05,3.9782116779072015e-05,0.17598902463331484
1,41000001,42000000,211,3.0751660299416196e-05,2.7000713797844056e-05,0.42569450281084453
1,42000001,43000000,495,0.00011640715897031913,6.438631751793582e-05,2.516734839256158
1,43000001,43572054,240,0.0001087450059398437,5.613678951696036e-05,2.8844820494391894
2,1,1000000,283,6.362966292214385e-05,3.770513879462247e-05,2.1237106074167285
2,1000001,2000000,257,5.9611332470740936e-05,3.3071880213927335e-05,2.4716773424250897
2,2000001,3000000,116,3.30087323202332e-05,1.7095126487392393e-05,2.8076804337911265
2,3000001,4000000,164,4.060217582208491e-05,2.2047920142618225e-05,2.562800170359726
2,4000001,5000000,179,4.351171440069338e-05,2.5083503350659863e-05,2.246503776669609
2,5000001,6000000,199,4.72778593804189e-05,2.6201876111517307e-05,2.462750042893128
2,6000001,7000000,162,4.1824324709419046e-05,2.348582797800637e-05,2.3828243224699555
2,7000001,8000000,91,1.882591870588504e-05,1.2302100369431907e-05,1.5736113145753146
2,8000001,9000000,118,2.7697766955339314e-05,1.5657218652004247e-05,2.3104369209694027
2,9000001,10000000,91,2.3903422301827356e-05,1.1982565294901209e-05,2.9476190291235342
2,10000001,11000000,131,3.818856320068642e-05,1.9172104471841933e-05,3.005526782781632
2,11000001,12000000,53,1.3359835015525517e-05,7.349306714206074e-06,2.338404145754512
2,12000001,13000000,81,1.0763681135921683e-05,9.266517161390268e-06,0.4706970916698566
