panel,chrom,window_start,window_end,n_snps,pi,theta_w,tajima_d
Set1,1,1178,1001177,1515,0.0005003663012194576,0.0002412677575529075,3.370781306247534
Set1,1,1001178,2001177,1457,0.0004779272101934885,0.00023203110412843976,3.3259351623762203
Set1,1,2001178,3001177,1809,0.00060104009598593,0.00028808803525624403,3.4115249195279627
Set1,1,3001178,4001177,1591,0.0005091252801084685,0.0002533709585918652,3.1688299033863174
Set1,1,4001178,5001177,1676,0.0005116719359357717,0.000266907433438068,2.879315147731135
Set1,1,5001178,6001177,1723,0.0005720662444020188,0.0002743923077647918,3.406476357349461
Set1,1,6001178,7001177,1969,0.0006139465126438347,0.000313568458496155,3.009044491969652
Set1,1,7001178,8001177,1254,0.00043562635349258687,0.00019970281714280265,3.7055819111021098
Set1,1,8001178,9001177,530,0.0002091166336643833,8.440390198220527e-05,4.609865060858676
Set1,1,9001178,10001177,1157,0.0004005946477134893,0.0001842553105536066,3.6816384519283973
Set1,1,10001178,11001177,1144,0.0003985297919389903,0.0001821850261653638,3.7233877813882215
Set1,1,11001178,12001177,1616,0.0005169194262858896,0.00025735227472310134,3.166470467462294
Set1,1,12001178,13001177,1356,0.00041471650128452315,0.0002159465869582459,2.888036271103149
Set1,1,13001178,14001177,1476,0.00045500788245890305,0.00023505690438817918,2.936839648812813
Set1,1,14001178,15001177,1844,0.0005775235907142907,0.00029366187783997456,3.03583255784036
Set1,1,15001178,16001177,1222,0.00036682621877229265,0.00019460673249482044,2.7755488713251797
Set1,1,16001178,17001177,992,0.00029821714323630534,0.00015797862408744833,2.7815444626080694
Set1,1,17001178,18001177,1555,0.000486131747913316,0.0002476378633628853,3.023163581720303
Set1,1,18001178,19001177,1632,0.0005178797323467905,0.0002599003170470925,3.1163414265151066
Set1,1,19001178,20001177,1315,0.0003635267019715419,0.00020941722850301872,2.3086910024577776
Set1,1,20001178,21001177,887,0.000251460835117931,0.00014125709633625675,2.4431335636871836
Set1,1,21001178,22001177,1039,0.00027973917828652203,0.0001654634984141722,2.164544309163207
Set1,1,22001178,23001177,2319,0.0007234069404881243,0.00036930688433346043,3.01298312683268
Set1,1,23001178,24001177,2619,0.0007935719211313175,0.0004170826779082936,2.8372338442177094
Set1,1,24001178,25001177,2007,0.0006467156218982163,0.0003196200590156339,3.2148013310796077
Set1,1,25001178,26001177,1296,0.00039637313726798403,0.0002063914282432793,2.8876532358338474
Set1,1,26001178,27001177,887,0.0002362390887537477,0.00014125709633625675,2.1056789559633518
Set1,1,27001178,28001177,1002,0.00034246002279643244,0.00015957115053994277,3.5914639097127856
Set1,1,28001178,29001177,1605,0.0005683685262354582,0.00025560049562535747,3.8415390491335573
Set1,1,29001178,30001177,1733,0.0005343085935904851,0.0002759848342172863,2.9391574430958545
Set1,1,30001178,31001177,1967,0.0005870238013123328,0.00031324995320565615,2.74531771766536
Set1,1,31001178,32001177,1883,0.000570479577274924,0.00029987273100470286,2.834291936943547
Set1,1,32001178,33001177,1729,0.0005049249838218145,0.0002753478236362885,2.61810988906778
Set1,1,33001178,34001177,1528,0.0004841844113451455,0.00024333804194115027,3.106755509881062
Set1,1,34001178,35001177,1898,0.0006108772563812208,0.0003022615206834445,3.2069118801916923
Set1,1,35001178,36001177,1157,0.00035097143344614584,0.0001842553105536066,2.83715618553449
Set1,1,36001178,37001177,1086,0.00035047659156652245,0.0001729483727408961,3.2177715406771696
Set1,1,37001178,38001177,1201,0.0004045822860795835,0.00019126242694458213,3.497802812075603
Set1,1,38001178,39001177,1293,0.0004288002478955914,0.00020591367030753098,3.3956255456158635
Set1,1,39001178,40001177,1521,0.0004892746181453692,0.00024222327342440417,3.2014140843087247
Set1,1,40001178,41001177,1192,0.0003447345234135635,0.00018982915313733712,2.559079336877481
Set1,1,41001178,42001177,1988,0.0006287476631737188,0.0003165942587558945,3.097193128388738
Set1,1,42001178,43001177,1854,0.0005573994443492141,0.000295254404292469,2.788496678482848
Set1,1,43001178,43254222,408,0.0005612455949997792,0.0002567728240501615,3.689288941634019
Set1,2,668,1000667,1700,0.0005196494184707799,0.00027072949692405463,2.8869792524109967
Set1,2,1000668,2000667,1366,0.00039366783076814736,0.00021753911341074034,2.5404038893489638
Set1,2,2000668,3000667,1724,0.0005222682326679169,0.0002745515604100413,2.833143332706145
Set1,2,3000668,4000667,1141,0.0003902261483929743,0.0001817072682296155,3.598095644520362
Set1,2,4000668,5000667,1537,0.0005253413764146167,0.0002447713157483953,3.5980404087203244
Set1,2,5000668,6000667,1513,0.0005257922038391345,0.00024094925226240865,3.7105894769859593
Set1,2,6000668,7000667,1425,0.0004761489021679698,0.00022693501948045755,3.446242843162965
Set1,2,7000668,8000667,1477,0.0004844064240515489,0.00023521615703342864,3.325004689522518
Set1,2,8000668,9000667,1595,0.0005197014721207392,0.00025400796917286305,3.2837475994578527
Set1,2,9000668,10000667,883,0.0003144951766620072,0.00014062008575525898,3.8720434686169516
Set1,2,10000668,11000667,1633,0.0005644558390234793,0.0002600595696923419,3.6748031679821143
Set1,2,11000668,12000667,942,0.00031773417419560685,0.00015001599182497613,3.50223145266376
Set1,2,12000668,13000667,588,0.000142208335523816,9.364055540667301e-05,1.619647199927788
Set1,2,13000668,14000667,592,0.0001388763709849759,9.427756598767079e-05,1.4773231350342857
Set1,2,14000668,15000667,683,0.00015892993353467123,0.00010876955670537017,1.4417641210317467
Set1,2,15000668,16000667,710,0.00017352267624176653,0.00011306937812710517,1.671994040827992
Set1,2,16000668,17000667,1271,0.0004314439206172903,0.0002024101121120432,3.5494385423686188
